名称,contenet,日期,状态
Programming & Data Science," C#, Python, VR/AR, C, Deep learning & AI,LLM prompting, Godot, HTML.",,未开始
Hardware Devices,"Arduino, Oculus, Furhat robotics, FPGA",,未开始
Research Methods,"Qualitative/ quantitive study, Interview, Case study, Thematic Analysis, User Journey, Perception Measurement",,未开始
Design Tools,"Unity, Figma,PS, Procreate, Blender,C4D",,未开始
